$\omega$,   $\langle E\rangle_{T1}$,    $\langle E\rangle_{T2}$,    $\sigma^2_{T1}$,    $\sigma^2_{T2}$,    $\langle r_{12}\rangle_{T1}$,   $\langle r_{12}\rangle_{T2}$
0.01,   0.10668,    0.0995942,    0.00296528,   0.0010394,    16.6605,    17.3212
0.02,   0.164837,    0.155516,    0.00632619,   0.00169718,    12.3118,    12.71
0.5,    2.04106,    2.00206,    0.139853,    0.00212442,    2.40889,    2.59374
1.0,    3.77439,    3.73018,    0.274253,    0.000224204,    1.70711,    1.81748
2.0,    7.11832,    7.06115,   0.553762,   0.0119627,   1.21638,    1.26717
